seq_id,generation_time_sec,avg_token_latency_ms,throughput_tokens_per_sec,sequence_length,self_perplexity,posthoc_perplexity,memory_usage_mb,seed,temperature,top_k,top_p,batch_size,target_aa_length
seq_01272,3.1474,6.171,162.04,510,3.4479,15.2882,745.82,42,1,0,1,1,510
seq_01273,3.1386,6.154,162.49,510,2.9823,11.7815,745.82,42,1,0,1,1,510
seq_01274,3.1512,6.179,161.84,510,3.6522,12.1739,745.82,42,1,0,1,1,510
seq_01275,3.1626,6.201,160.94,509,5.7733,20.6295,745.82,42,1,0,1,1,510
seq_01276,3.1491,6.175,161.95,510,3.1871,11.0349,745.82,42,1,0,1,1,510
seq_01277,3.1431,6.163,162.26,510,2.9738,16.226,745.82,42,1,0,1,1,510
seq_01278,3.1449,6.166,162.17,510,3.0365,12.0114,745.82,42,1,0,1,1,510
seq_01279,3.1475,6.172,162.03,510,2.6962,12.4436,745.82,42,1,0,1,1,510
seq_01280,3.1454,6.167,162.14,510,2.7824,10.2324,745.82,42,1,0,1,1,510
seq_01281,3.1444,6.165,162.2,510,3.0104,9.7369,745.82,42,1,0,1,1,510
seq_01282,3.1909,6.257,159.83,510,5.94,16.6664,745.82,42,1,0,1,1,510
seq_01283,3.1479,6.172,162.01,510,3.0692,14.3931,745.82,42,1,0,1,1,510
seq_01284,3.1568,6.19,161.55,510,2.562,9.849,745.82,42,1,0,1,1,510
seq_01285,3.1433,6.163,162.25,510,2.9299,11.0447,745.82,42,1,0,1,1,510
seq_01286,3.1442,6.165,162.2,510,6.8674,25.1814,745.82,42,1,0,1,1,510
seq_01287,3.1512,6.179,161.84,510,2.7517,8.5297,745.82,42,1,0,1,1,510
seq_01288,3.1778,6.231,160.49,510,2.8075,9.9584,745.82,42,1,0,1,1,510
seq_01289,3.1444,6.166,162.19,510,2.8126,11.0527,745.82,42,1,0,1,1,510
seq_01290,3.1447,6.166,162.18,510,2.5965,9.1655,745.82,42,1,0,1,1,510
seq_01291,3.1446,6.166,162.18,510,2.8691,9.7531,745.82,42,1,0,1,1,510
seq_01292,3.1545,6.185,161.67,510,2.4116,6.9931,745.82,42,1,0,1,1,510
seq_01293,3.1522,6.181,161.79,510,2.6005,8.0214,745.82,42,1,0,1,1,510
seq_01294,3.1531,6.183,161.74,510,3.0536,11.2682,745.82,42,1,0,1,1,510
seq_01295,3.1474,6.171,162.04,510,2.9644,10.8659,745.82,42,1,0,1,1,510
