model,sequence_id,length,aa_L1_divergence,kmer3_JSD,kmer5_JSD,shannon_entropy,hydrophobicity,net_charge,molecular_weight,repetitive_content,low_complexity_fraction,motif_VAIK,motif_HRD,motif_DFG,motif_APE,motif_GxGxxG
esm,seq_00013,510,0.4222994730799365,0.8525172879025159,0.9994381606256049,4.283907071620807,-0.5819607843137256,0.043137254901960784,71111,0.0,0.0,0,0,0,0,0
esm,seq_00014,510,0.35447454314705523,0.8387055045579366,0.9990394575326023,4.293593679500489,-0.667843137254902,0.025490196078431372,69947,0.003937007874015748,0.0,0,0,0,0,0
esm,seq_00015,510,0.3241568060781959,0.8357022315031635,0.9992319845396919,4.290366314551436,-0.4907843137254902,0.03137254901960784,68953,0.005905511811023622,0.0,0,0,0,0,0
esm,seq_00016,510,0.352561337130837,0.8463307141213686,0.9991931521913288,4.2965875821170405,-0.5452941176470588,0.08627450980392157,69283,0.001968503937007874,0.0,1,0,0,0,0
esm,seq_00017,510,0.3311616427488539,0.8357725504587932,0.9991218240530926,4.298577857745554,-0.5123529411764706,0.08823529411764706,69298,0.00984251968503937,0.0,0,0,1,0,1
esm,seq_00018,510,0.3155611419448409,0.8384970407366483,0.9991796077707296,4.277493389972754,-0.7466666666666666,0.058823529411764705,70384,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00019,510,0.3135271491949193,0.8261839551814573,0.998856433270362,4.2947904112482425,-0.5852941176470589,0.09607843137254903,69627,0.003937007874015748,0.0,0,0,0,1,0
esm,seq_00020,510,0.3341544353759151,0.8383731223681439,0.9990864512505264,4.2928848192910944,-0.4029411764705883,0.0803921568627451,70505,0.003937007874015748,0.0,0,0,0,0,0
esm,seq_00021,510,0.3560537224132107,0.8447988755558596,0.9991016046333326,4.283175934894187,-0.4174509803921569,0.047058823529411764,69488,0.0,0.0,0,0,0,0,0
esm,seq_00022,510,0.294953750774037,0.8332966716829865,0.999229696487479,4.288497575173038,-0.21803921568627455,0.06274509803921569,69365,0.0,0.0,1,0,0,0,0
esm,seq_00023,510,0.2978930451917175,0.8331428715164909,0.9989186426193958,4.30802181056864,-0.3958823529411765,0.0392156862745098,69200,0.007874015748031496,0.0,0,0,0,0,0
