model,sequence_id,length,aa_L1_divergence,kmer3_JSD,kmer5_JSD,shannon_entropy,hydrophobicity,net_charge,molecular_weight,repetitive_content,low_complexity_fraction,motif_VAIK,motif_HRD,motif_DFG,motif_APE,motif_GxGxxG
fnet,seq_00013,470,0.4297502214517372,0.8649794039217988,0.9994605130077832,4.275063849945037,-0.6557446808510639,0.04468085106382979,65906,0.002136752136752137,0.002178649237472767,0,0,0,0,0
fnet,seq_00014,474,0.37914567742355065,0.8500630674373614,0.9991882563856233,4.287810493142529,-0.6312236286919831,0.02109704641350211,65297,0.0,0.0,0,0,0,0,0
fnet,seq_00015,472,0.3262502443246865,0.8485751890507255,0.9992068932107662,4.287763789681533,-0.42711864406779654,0.04025423728813559,63781,0.00425531914893617,0.0,0,0,0,0,0
fnet,seq_00016,475,0.3750174774817142,0.8595598764793321,0.9992026272510132,4.295368668304191,-0.5764210526315788,0.0863157894736842,64579,0.0021141649048625794,0.0,1,0,0,0,0
fnet,seq_00017,472,0.3490579538156535,0.8485139777000797,0.9992279522267898,4.2988600587547285,-0.5101694915254238,0.08686440677966102,64318,0.010638297872340425,0.0,0,0,1,0,1
fnet,seq_00018,472,0.3297685198112417,0.8514815348164638,0.9992884135410276,4.266235420180053,-0.7300847457627119,0.057203389830508475,65207,0.00425531914893617,0.0,0,0,0,0,0
fnet,seq_00019,470,0.34515222690441066,0.841948673871289,0.9989563100658785,4.296686896397711,-0.6074468085106383,0.08936170212765958,64293,0.004273504273504274,0.0,0,0,0,1,0
fnet,seq_00020,471,0.3467332084987582,0.849244066075504,0.9992725951978935,4.290967948396435,-0.5004246284501062,0.08492569002123142,65345,0.006396588486140725,0.0,0,0,0,0,0
fnet,seq_00021,472,0.37752003462429845,0.856703183232934,0.9992102646171137,4.282771491324741,-0.4480932203389831,0.05508474576271186,64536,0.0,0.0,0,0,0,0,0
fnet,seq_00022,470,0.3152097241522305,0.8461262974001623,0.9992964489564866,4.287386265067538,-0.20425531914893624,0.06382978723404255,63940,0.0,0.0,1,0,0,0,0
fnet,seq_00023,471,0.3074281211148521,0.8482940250652146,0.9991110141614715,4.308654710901475,-0.41146496815286626,0.036093418259023353,63698,0.010660980810234541,0.0,0,0,0,0,0
